filename,partition,task,semantic_label,numeric_label
Training_10118481.jpg,train,target,angry,0
Training_10120469.jpg,train,target,angry,0
Training_10131352.jpg,train,target,angry,0
Training_10161559.jpg,train,target,angry,0
Training_1021836.jpg,train,target,angry,0
Training_10269675.jpg,train,target,angry,0
Training_10278738.jpg,train,target,angry,0
Training_10290703.jpg,train,target,angry,0
Training_10295477.jpg,train,target,angry,0
Training_10315441.jpg,train,target,angry,0
Training_10316849.jpg,train,target,angry,0
Training_10333072.jpg,train,target,angry,0
Training_10334355.jpg,train,target,angry,0
Training_10345473.jpg,train,target,angry,0
Training_10422050.jpg,train,target,angry,0
Training_10485618.jpg,train,target,angry,0
Training_10503476.jpg,train,target,angry,0
Training_10524198.jpg,train,target,angry,0
Training_10539399.jpg,train,target,angry,0
Training_10592361.jpg,train,target,angry,0
Training_10595751.jpg,train,target,angry,0
Training_10608067.jpg,train,target,angry,0
Training_10740356.jpg,train,target,angry,0
Training_10851653.jpg,train,target,angry,0
Training_10857340.jpg,train,target,angry,0
Training_10882484.jpg,train,target,angry,0
Training_10899258.jpg,train,target,angry,0
Training_10922970.jpg,train,target,angry,0
Training_10967257.jpg,train,target,angry,0
Training_11023881.jpg,train,target,angry,0
Training_11036720.jpg,train,target,angry,0
Training_11102431.jpg,train,target,angry,0
Training_11175213.jpg,train,target,angry,0
Training_11185740.jpg,train,target,angry,0
Training_1119091.jpg,train,target,angry,0
Training_11206889.jpg,train,target,angry,0
Training_1120923.jpg,train,target,angry,0
Training_11247006.jpg,train,target,angry,0
Training_11262281.jpg,train,target,angry,0
Training_11275727.jpg,train,target,angry,0
Training_1127865.jpg,train,target,angry,0
Training_11292723.jpg,train,target,angry,0
Training_11306820.jpg,train,target,angry,0
Training_11319077.jpg,train,target,angry,0
Training_11330391.jpg,train,target,angry,0
Training_1133567.jpg,train,target,angry,0
Training_11350676.jpg,train,target,angry,0
Training_11359731.jpg,train,target,angry,0
Training_11393282.jpg,train,target,angry,0
Training_11478843.jpg,train,target,angry,0
Training_11533347.jpg,train,target,angry,0
Training_11566408.jpg,train,target,angry,0
Training_11571868.jpg,train,target,angry,0
Training_11576563.jpg,train,target,angry,0
Training_11579481.jpg,train,target,angry,0
Training_11596465.jpg,train,target,angry,0
Training_11666027.jpg,train,target,angry,0
Training_11666709.jpg,train,target,angry,0
Training_11713762.jpg,train,target,angry,0
Training_1173634.jpg,train,target,angry,0
Training_11745938.jpg,train,target,angry,0
Training_11749309.jpg,train,target,angry,0
Training_11769417.jpg,train,target,angry,0
Training_11769870.jpg,train,target,angry,0
Training_11770015.jpg,train,target,angry,0
Training_11808005.jpg,train,target,angry,0
Training_11820572.jpg,train,target,angry,0
Training_1184435.jpg,train,target,angry,0
Training_11860503.jpg,train,target,angry,0
Training_11888118.jpg,train,target,angry,0
Training_11917747.jpg,train,target,angry,0
Training_1193977.jpg,train,target,angry,0
Training_11940623.jpg,train,target,angry,0
Training_11947615.jpg,train,target,angry,0
Training_11954904.jpg,train,target,angry,0
Training_11983206.jpg,train,target,angry,0
Training_11990539.jpg,train,target,angry,0
Training_12006812.jpg,train,target,angry,0
Training_12017013.jpg,train,target,angry,0
Training_12037449.jpg,train,target,angry,0
Training_12045034.jpg,train,target,angry,0
Training_12075336.jpg,train,target,angry,0
Training_12091917.jpg,train,target,angry,0
Training_12095508.jpg,train,target,angry,0
Training_12095988.jpg,train,target,angry,0
Training_12148960.jpg,train,target,angry,0
Training_12155031.jpg,train,target,angry,0
Training_12168970.jpg,train,target,angry,0
Training_12172696.jpg,train,target,angry,0
Training_12175445.jpg,train,target,angry,0
Training_12216843.jpg,train,target,angry,0
Training_12250673.jpg,train,target,angry,0
Training_12295489.jpg,train,target,angry,0
Training_12383687.jpg,train,target,angry,0
Training_12391352.jpg,train,target,angry,0
Training_12407292.jpg,train,target,angry,0
Training_12409483.jpg,train,target,angry,0
Training_12450586.jpg,train,target,angry,0
Training_12469031.jpg,train,target,angry,0
Training_12513174.jpg,train,target,angry,0
Training_12524483.jpg,train,target,angry,0
Training_12565431.jpg,train,target,angry,0
Training_12604769.jpg,train,target,angry,0
Training_12661221.jpg,train,target,angry,0
Training_12675274.jpg,train,target,angry,0
Training_12686673.jpg,train,target,angry,0
Training_12695814.jpg,train,target,angry,0
Training_12775696.jpg,train,target,angry,0
Training_12776681.jpg,train,target,angry,0
Training_12812647.jpg,train,target,angry,0
Training_12837353.jpg,train,target,angry,0
Training_12861782.jpg,train,target,angry,0
Training_12890896.jpg,train,target,angry,0
Training_1294170.jpg,train,target,angry,0
Training_12961021.jpg,train,target,angry,0
Training_12974019.jpg,train,target,angry,0
Training_13039915.jpg,train,target,angry,0
Training_13040296.jpg,train,target,angry,0
Training_13043913.jpg,train,target,angry,0
Training_13064272.jpg,train,target,angry,0
Training_13081843.jpg,train,target,angry,0
Training_13145953.jpg,train,target,angry,0
Training_13196511.jpg,train,target,angry,0
Training_13202061.jpg,train,target,angry,0
Training_13221971.jpg,train,target,angry,0
Training_13282534.jpg,train,target,angry,0
Training_1329550.jpg,train,target,angry,0
Training_13304793.jpg,train,target,angry,0
Training_13325591.jpg,train,target,angry,0
Training_13489272.jpg,train,target,angry,0
Training_13521344.jpg,train,target,angry,0
Training_13605605.jpg,train,target,angry,0
Training_13607820.jpg,train,target,angry,0
Training_13644751.jpg,train,target,angry,0
Training_13659242.jpg,train,target,angry,0
Training_13677471.jpg,train,target,angry,0
Training_13689420.jpg,train,target,angry,0
Training_13742442.jpg,train,target,angry,0
Training_13772540.jpg,train,target,angry,0
Training_13782684.jpg,train,target,angry,0
Training_13790669.jpg,train,target,angry,0
Training_13852029.jpg,train,target,angry,0
Training_13874420.jpg,train,target,angry,0
Training_13898081.jpg,train,target,angry,0
Training_13917123.jpg,train,target,angry,0
Training_13919685.jpg,train,target,angry,0
Training_13965818.jpg,train,target,angry,0
Training_13976691.jpg,train,target,angry,0
Training_13994952.jpg,train,target,angry,0
Training_13997003.jpg,train,target,angry,0
Training_14051560.jpg,train,target,angry,0
Training_14054767.jpg,train,target,angry,0
Training_14056996.jpg,train,target,angry,0
Training_1409194.jpg,train,target,angry,0
Training_14110796.jpg,train,target,angry,0
Training_14118986.jpg,train,target,angry,0
Training_14119944.jpg,train,target,angry,0
Training_14151520.jpg,train,target,angry,0
Training_14169607.jpg,train,target,angry,0
Training_14215476.jpg,train,target,angry,0
Training_14226893.jpg,train,target,angry,0
Training_14227929.jpg,train,target,angry,0
Training_1424656.jpg,train,target,angry,0
Training_14248179.jpg,train,target,angry,0
Training_14248217.jpg,train,target,angry,0
Training_1426440.jpg,train,target,angry,0
Training_14291798.jpg,train,target,angry,0
Training_14296537.jpg,train,target,angry,0
Training_143373.jpg,train,target,angry,0
Training_14340905.jpg,train,target,angry,0
Training_14342315.jpg,train,target,angry,0
Training_14383356.jpg,train,target,angry,0
Training_14399797.jpg,train,target,angry,0
Training_14417147.jpg,train,target,angry,0
Training_14485990.jpg,train,target,angry,0
Training_14503064.jpg,train,target,angry,0
Training_14519925.jpg,train,target,angry,0
Training_14525872.jpg,train,target,angry,0
Training_14530363.jpg,train,target,angry,0
Training_14532305.jpg,train,target,angry,0
Training_14566179.jpg,train,target,angry,0
Training_14570127.jpg,train,target,angry,0
